UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP 
169761,"R",15,"R",38,"R",39,"R",73,"R",33
169798,"R",2272,"R",4590,"R",49,"R",74,"R",54
169813,"A",,"A",,"A",,"A",,"A",
169910,"R",1895,"R",2195,"R",86,"R",69,"R",67
169947,"A",,"A",,"A",,"R",89,"A",
169956,"A",,"A",,"A",,"R",75,"A",
169974,"R",155,"R",216,"R",72,"R",55,"R",31
169983,"R",397,"R",437,"R",91,"R",90,"A",
169992,"R",234,"R",523,"R",45,"R",57,"R",10
170000,"R",42,"R",66,"R",64,"R",73,"R",33
170037,"R",350,"R",463,"R",76,"R",65,"R",40
170046,"A",,"A",,"A",,"R",62,"A",
170055,"R",2335,"R",7493,"R",31,"R",62,"R",20
170082,"R",3558,"R",5174,"R",69,"R",83,"R",33
170091,"R",43,"R",85,"R",51,"R",74,"R",57
170240,"R",1426,"R",7139,"R",20,"R",58,"R",20
170301,"R",778,"R",848,"R",92,"R",88,"A",
170417,"R",151,"R",167,"R",90,"R",59,"R",39
170444,"R",738,"R",1093,"R",68,"R",70,"R",37
170514,"A",,"A",,"A",,"R",100,"R",76
170532,"R",379,"R",386,"R",98,"R",92,"A",
170541,"R",1249,"R",6649,"R",19,"R",64,"R",24
170550,"R",561,"R",2296,"R",24,"R",30,"R",60
170587,"R",150,"R",693,"R",22,"R",62,"R",48
170611,"A",,"A",,"A",,"R",55,"R",58
170620,"R",468,"R",747,"R",63,"R",56,"R",38
170639,"R",458,"R",633,"R",72,"R",60,"R",50
170657,"R",1245,"R",4534,"R",27,"R",77,"R",40
170675,"R",254,"R",707,"R",36,"R",74,"R",36
170693,"R",59,"R",81,"R",73,"R",62,"R",71
170736,"A",,"A",,"A",,"R",70,"R",60
170790,"R",1015,"R",1638,"R",62,"R",45,"R",21
170806,"R",171,"R",724,"R",24,"R",75,"R",25
170824,"A",,"A",,"A",,"R",89,"Z",0
170842,"R",84,"R",225,"R",37,"R",57,"R",2
170967,"R",118,"R",286,"R",41,"R",67,"R",0
170976,"R",5356,"R",6191,"R",87,"R",96,"R",94
171012,"A",,"A",,"A",,"R",66,"R",64
171100,"R",7308,"R",8920,"R",82,"R",90,"R",53
171128,"R",1163,"R",1387,"R",84,"R",81,"R",33
171137,"R",761,"R",1505,"R",51,"R",77,"R",48
171146,"R",475,"R",1291,"R",37,"R",70,"R",57
171155,"R",476,"R",1713,"R",28,"R",29,"R",24
171225,"R",330,"R",702,"R",47,"R",58,"R",21
171234,"R",232,"R",486,"R",48,"R",53,"R",34
171261,"A",,"A",,"A",,"R",61,"R",13
171298,"R",899,"R",4690,"R",19,"R",43,"R",31
171304,"R",637,"R",2840,"R",22,"R",62,"R",24
171322,"A",,"A",,"A",,"R",61,"A",
171395,"R",210,"R",1487,"R",14,"R",49,"R",20
171456,"R",1741,"R",2383,"R",73,"R",74,"R",43
171465,"A",,"A",,"A",,"R",87,"A",
171483,"R",656,"R",2389,"R",27,"R",61,"R",17
171492,"R",504,"R",1177,"R",43,"R",70,"R",33
171535,"R",1029,"R",2684,"R",38,"R",65,"R",46
171571,"R",2186,"R",2287,"R",96,"R",70,"R",29
171599,"R",199,"R",282,"R",71,"R",64,"A",
171775,"A",,"A",,"A",,"R",88,"R",86
171881,"R",46,"R",114,"R",40,"R",63,"R",33
172033,"R",4,"R",16,"R",25,"R",50,"A",
172051,"R",1435,"R",2544,"R",56,"R",68,"R",42
172200,"R",1162,"R",5335,"R",22,"R",62,"R",51
172264,"R",180,"R",428,"R",42,"R",64,"R",100
172291,"R",647,"R",2105,"R",31,"R",71,"R",19
172307,"R",301,"R",757,"R",40,"R",61,"R",33
172334,"R",330,"R",626,"R",53,"R",73,"R",33
172422,"R",69,"R",69,"R",100,"R",73,"A",
172440,"R",116,"R",223,"R",52,"R",54,"R",1
172495,"A",,"A",,"A",,"A",,"R",48
172556,"A",,"A",,"A",,"R",59,"R",0
172574,"A",,"A",,"A",,"R",63,"R",33
172583,"A",,"A",,"A",,"R",63,"R",59
172617,"R",866,"R",8800,"R",10,"R",54,"R",34
172635,"R",1987,"R",7980,"R",25,"R",47,"R",29
172644,"R",2517,"R",5554,"R",45,"R",69,"R",39
172671,"R",141,"R",625,"R",23,"R",70,"R",26
172699,"R",3535,"R",5184,"R",68,"R",74,"R",30
172802,"A",,"A",,"A",,"R",80,"R",80
172866,"R",22,"R",39,"R",56,"R",100,"A",
172918,"R",548,"R",1156,"R",47,"R",69,"R",47
172927,"R",31,"R",55,"R",56,"A",,"A",
172954,"R",254,"R",995,"R",26,"R",56,"R",36
172963,"R",1150,"R",3513,"R",33,"R",52,"R",27
172972,"R",9,"R",18,"R",50,"R",73,"R",0
173045,"R",395,"R",748,"R",53,"R",80,"R",80
173063,"R",468,"R",1306,"R",36,"R",57,"R",41
173115,"R",163,"R",601,"R",27,"R",47,"R",29
173124,"R",635,"R",1091,"R",58,"R",66,"R",52
173142,"R",176,"R",214,"R",82,"R",68,"R",9
173160,"R",628,"R",960,"R",65,"R",85,"R",29
173203,"R",653,"R",1271,"R",51,"R",55,"R",33
173258,"R",504,"R",513,"R",98,"R",96,"A",
173300,"R",700,"R",700,"R",100,"R",80,"A",
173328,"R",199,"R",458,"R",43,"R",73,"A",
173416,"R",469,"R",1279,"R",37,"R",65,"R",53
173452,"R",165,"R",212,"R",78,"R",78,"A",
173461,"R",477,"R",2027,"R",24,"R",56,"R",53
173470,"A",,"A",,"A",,"R",79,"A",
173489,"R",64,"R",80,"R",80,"R",44,"R",72
173559,"R",1101,"R",3058,"R",36,"R",57,"R",52
173629,"R",269,"R",815,"R",33,"R",48,"R",69
173638,"R",470,"R",1189,"R",40,"R",67,"R",54
173647,"R",685,"R",718,"R",95,"R",89,"A",
173665,"R",423,"R",424,"R",100,"R",81,"R",100
173708,"R",534,"R",2127,"R",25,"R",60,"R",41
173726,"A",,"A",,"A",,"R",90,"A",
173735,"R",315,"R",632,"R",50,"R",57,"R",36
173744,"A",,"A",,"A",,"R",92,"R",91
173799,"R",660,"R",2252,"R",29,"R",45,"R",41
173805,"R",304,"R",603,"R",50,"R",58,"R",65
173887,"R",423,"R",583,"R",73,"R",59,"R",41
173902,"R",501,"R",523,"R",96,"R",93,"A",
173911,"R",511,"R",1234,"R",41,"R",60,"R",48
173920,"R",2137,"R",3234,"R",66,"R",78,"R",36
173939,"A",,"A",,"A",,"R",62,"A",
173984,"R",123,"R",300,"R",41,"A",,"A",
173993,"R",253,"R",463,"R",55,"R",66,"R",23
174020,"R",39,"R",1123,"R",3,"R",53,"R",48
174066,"R",5424,"R",8900,"R",61,"R",86,"R",48
174075,"R",214,"R",1387,"R",15,"R",69,"R",0
174118,"R",373,"R",373,"R",100,"R",78,"A",
174127,"R",140,"R",200,"R",70,"R",84,"A",
174136,"R",779,"R",3174,"R",25,"R",56,"R",45
174154,"R",39,"R",69,"R",57,"R",40,"R",40
174190,"A",,"A",,"A",,"R",75,"A",
174206,"R",18,"R",28,"R",64,"R",58,"A",
174233,"R",2305,"R",3380,"R",68,"R",76,"R",45
174251,"R",378,"R",648,"R",58,"R",80,"R",50
174279,"R",54,"R",123,"R",44,"R",66,"A",
174321,"A",,"A",,"A",,"R",72,"A",
174358,"R",1095,"R",2107,"R",52,"R",70,"R",46
174376,"R",722,"R",2450,"R",29,"R",56,"R",38
174385,"R",13,"R",54,"R",24,"R",75,"R",0
174394,"R",300,"R",547,"R",55,"R",92,"R",19
174428,"R",1238,"R",3659,"R",34,"R",52,"R",39
174437,"R",243,"R",345,"R",70,"R",72,"R",0
174464,"R",65,"R",182,"R",36,"R",87,"R",68
174473,"R",575,"R",1701,"R",34,"R",51,"R",54
174482,"R",49,"R",76,"R",64,"R",85,"A",
174491,"R",498,"R",1107,"R",45,"R",81,"R",100
174507,"R",7,"R",54,"R",13,"R",79,"A",
174525,"R",32,"R",186,"R",17,"R",45,"R",50
174534,"A",,"A",,"A",,"R",68,"A",
174561,"R",40,"R",67,"R",60,"R",63,"R",100
174570,"R",61,"R",406,"R",15,"R",57,"R",52
174604,"R",106,"R",193,"R",55,"R",46,"R",20
174622,"R",48,"R",123,"R",39,"R",68,"R",76
174631,"R",52,"R",234,"R",22,"R",40,"R",37
174738,"R",955,"R",2173,"R",44,"R",53,"R",44
174747,"R",540,"R",576,"R",94,"R",90,"A",
174756,"R",746,"R",1805,"R",41,"R",58,"R",43
174765,"A",,"A",,"A",,"R",63,"A",
174783,"R",2117,"R",4718,"R",45,"R",73,"R",40
174792,"R",506,"R",539,"R",94,"R",91,"A",
174817,"R",378,"R",606,"R",62,"R",78,"A",
174844,"R",793,"R",793,"R",100,"R",93,"A",
174862,"R",156,"R",349,"R",45,"R",64,"R",0
174899,"R",496,"R",833,"R",60,"R",81,"A",
174914,"R",1299,"R",1605,"R",81,"R",88,"R",33
174932,"R",37,"R",46,"R",80,"R",55,"Z",0
174978,"A",,"A",,"A",,"R",88,"R",71
175005,"R",409,"R",1229,"R",33,"R",80,"R",20
175014,"R",103,"R",241,"R",43,"R",35,"R",35
175041,"R",536,"R",1808,"R",30,"R",59,"R",40
