UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP 
108232,"R",458,"R",1449,"R",32,"R",61,"R",31
108250,"R",129,"R",138,"R",93,"R",64,"R",43
108287,"R",263,"R",263,"R",100,"R",78,"A",
108348,"R",93,"R",93,"R",100,"R",85,"R",0
108393,"R",94,"R",136,"R",69,"R",72,"A",
108649,"R",17,"R",17,"R",100,"R",89,"A",
108667,"R",93,"R",1682,"R",6,"R",67,"R",32
108807,"R",488,"R",2990,"R",16,"R",70,"R",38
108852,"R",145,"R",290,"R",50,"R",100,"A",
108977,"R",25,"R",34,"R",74,"R",100,"R",100
109013,"R",55,"R",371,"R",15,"R",58,"R",58
109040,"R",1055,"R",1055,"R",100,"R",85,"A",
109208,"R",1391,"R",9078,"R",15,"R",64,"R",41
109332,"R",505,"R",505,"R",100,"R",73,"A",
109350,"R",467,"R",2782,"R",17,"R",69,"R",39
109651,"R",55,"R",55,"R",100,"R",73,"R",0
109721,"R",656,"R",656,"R",100,"R",76,"A",
109730,"R",36,"R",48,"R",75,"R",68,"A",
109749,"R",14,"R",25,"R",56,"R",71,"A",
109785,"R",897,"R",1334,"R",67,"R",83,"R",22
109819,"R",1157,"R",4190,"R",28,"R",67,"R",45
109907,"R",173,"R",1145,"R",15,"R",57,"R",50
109934,"R",14,"R",50,"R",28,"R",73,"A",
110051,"R",97,"R",211,"R",46,"R",57,"R",58
110060,"R",12,"R",17,"R",71,"R",50,"R",56
110097,"R",696,"R",1091,"R",64,"R",95,"R",71
110176,"R",806,"R",1256,"R",64,"R",75,"R",30
110185,"R",302,"R",535,"R",56,"R",71,"R",0
110194,"R",124,"R",124,"R",100,"R",91,"A",
110219,"R",10,"R",76,"R",13,"R",0,"R",20
110246,"R",702,"R",3382,"R",21,"R",70,"R",46
110334,"R",593,"R",3325,"R",18,"R",66,"R",43
110361,"R",310,"R",725,"R",43,"R",76,"R",50
110370,"R",170,"R",171,"R",99,"R",75,"R",0
110404,"R",207,"R",225,"R",92,"R",98,"A",
110413,"R",402,"R",402,"R",100,"R",78,"A",
110422,"R",2900,"R",3704,"R",78,"R",90,"R",83
110468,"R",40,"R",123,"R",33,"R",40,"R",25
110486,"R",743,"R",1632,"R",46,"R",76,"R",35
110495,"R",653,"R",1691,"R",39,"R",80,"R",66
110510,"R",1588,"R",3342,"R",48,"R",80,"R",50
110529,"R",2115,"R",3769,"R",56,"R",80,"R",58
110538,"R",2198,"R",3779,"R",58,"R",82,"R",68
110547,"R",673,"R",2089,"R",32,"R",69,"R",47
110556,"R",2243,"R",4031,"R",56,"R",84,"R",56
110565,"R",3542,"R",7348,"R",48,"R",81,"R",57
110574,"R",840,"R",2521,"R",33,"R",82,"R",60
110583,"R",3302,"R",6274,"R",53,"R",86,"R",70
110592,"R",1131,"R",4765,"R",24,"R",75,"R",46
110608,"R",2873,"R",5678,"R",51,"R",76,"R",54
110617,"R",2268,"R",5447,"R",42,"R",81,"R",53
110635,"R",3647,"R",5426,"R",67,"R",96,"R",84
110644,"R",3016,"R",6165,"R",49,"R",91,"R",87
110653,"R",3610,"R",5283,"R",68,"R",93,"R",65
110662,"R",3700,"R",6790,"R",54,"R",96,"R",90
110671,"R",2928,"R",4278,"R",68,"R",85,"R",79
110680,"R",3601,"R",5199,"R",69,"R",93,"R",89
110705,"R",3876,"R",5457,"R",71,"R",91,"R",46
110714,"R",3037,"R",4269,"R",71,"R",88,"R",30
110875,"R",28,"R",28,"R",100,"R",77,"R",100
110918,"R",17,"R",20,"R",85,"R",40,"A",
110945,"R",245,"R",245,"R",100,"R",91,"A",
111009,"R",1315,"R",2740,"R",48,"R",83,"A",
111054,"R",244,"R",244,"R",100,"R",78,"A",
111081,"R",157,"R",278,"R",56,"R",90,"A",
111188,"R",131,"R",205,"R",64,"R",83,"A",
111434,"R",187,"R",1303,"R",14,"R",68,"R",37
111461,"R",604,"R",3554,"R",17,"R",68,"R",50
111513,"R",63,"R",139,"R",45,"R",68,"R",75
111638,"R",202,"R",277,"R",73,"R",53,"R",93
111708,"R",35,"R",53,"R",66,"R",87,"R",79
111717,"R",118,"R",118,"R",100,"R",90,"A",
111726,"R",89,"R",89,"R",100,"R",97,"A",
111744,"R",23,"R",24,"R",96,"R",87,"R",67
111762,"R",37,"R",37,"R",100,"R",87,"A",
111771,"R",40,"R",40,"R",100,"R",87,"A",
111799,"R",20,"R",20,"R",100,"R",88,"A",
111887,"R",663,"R",5811,"R",11,"R",64,"R",48
111896,"R",152,"R",1586,"R",10,"R",59,"R",40
111920,"R",680,"R",3994,"R",17,"R",75,"R",41
111939,"R",802,"R",4727,"R",17,"R",71,"R",44
111948,"R",829,"R",1171,"R",71,"R",88,"R",100
111966,"R",26,"R",69,"R",38,"R",95,"R",50
112075,"R",262,"R",486,"R",54,"R",83,"A",
112084,"R",79,"R",176,"R",45,"R",72,"R",0
112172,"R",946,"R",3813,"R",25,"R",66,"R",48
112190,"R",1265,"R",12368,"R",10,"R",73,"R",39
112260,"R",280,"R",306,"R",92,"R",97,"A",
112288,"R",479,"R",479,"R",100,"R",78,"A",
112312,"R",8,"R",59,"R",14,"R",73,"R",60
112367,"R",172,"R",644,"R",27,"R",86,"R",0
112385,"R",55,"R",2785,"R",2,"R",59,"R",26
112394,"R",26,"R",38,"R",68,"R",78,"R",33
112446,"R",33,"R",42,"R",79,"Z",0,"A",
112455,"R",19,"R",45,"R",42,"R",81,"A",
112516,"R",293,"R",293,"R",100,"R",80,"A",
112561,"R",45,"R",857,"R",5,"R",64,"R",36
112570,"R",20,"R",60,"R",33,"R",71,"A",
112686,"R",1800,"R",3525,"R",51,"R",49,"R",30
112783,"R",288,"R",288,"R",100,"R",69,"A",
112826,"R",228,"R",1670,"R",14,"R",68,"R",41
113096,"R",691,"R",3319,"R",21,"R",49,"R",28
113111,"R",402,"R",1752,"R",23,"R",61,"R",38
113193,"R",790,"R",3318,"R",24,"R",67,"R",39
113218,"R",406,"R",2530,"R",16,"R",57,"R",45
113227,"R",231,"R",231,"R",100,"R",83,"A",
113236,"R",703,"R",4346,"R",16,"R",69,"R",47
113333,"R",1258,"R",6495,"R",19,"R",72,"R",28
113397,"R",85,"R",137,"R",62,"R",93,"R",58
113537,"R",0,"R",26,"R",0,"R",0,"R",0
113573,"R",598,"R",2138,"R",28,"R",68,"R",49
113582,"R",13,"R",108,"R",12,"R",57,"R",58
113607,"R",695,"R",1259,"R",55,"R",55,"R",37
113634,"R",1042,"R",5055,"R",21,"R",70,"R",43
113698,"R",276,"R",501,"R",55,"R",76,"Z",0
113713,"R",98,"R",206,"R",48,"R",87,"R",100
113856,"R",323,"R",4569,"R",7,"R",72,"R",44
113908,"R",95,"R",95,"R",100,"R",69,"A",
113980,"R",873,"R",5783,"R",15,"R",74,"R",51
114044,"R",44,"R",56,"R",79,"R",83,"A",
114062,"R",96,"R",108,"R",89,"R",84,"R",67
114071,"R",121,"R",125,"R",97,"R",83,"R",100
114080,"R",107,"R",109,"R",98,"R",86,"R",50
114123,"R",801,"R",818,"R",98,"R",83,"R",85
114266,"R",280,"R",2961,"R",9,"R",79,"R",38
114345,"R",44,"R",45,"R",98,"R",83,"A",
114354,"R",670,"R",1386,"R",48,"R",59,"R",59
114372,"R",32,"R",100,"R",32,"R",76,"A",
114390,"R",267,"R",427,"R",63,"R",62,"R",62
114415,"R",299,"R",436,"R",69,"R",69,"R",69
114433,"R",124,"R",490,"R",25,"R",45,"R",24
114460,"R",137,"R",215,"R",64,"R",94,"R",87
114716,"R",652,"R",4692,"R",14,"R",62,"R",33
114761,"R",49,"R",50,"R",98,"R",81,"R",100
114789,"R",1353,"R",6354,"R",21,"R",64,"R",38
114813,"R",179,"R",444,"R",40,"R",84,"R",80
114859,"R",1321,"R",6165,"R",21,"R",71,"R",44
114886,"R",105,"R",131,"R",80,"R",80,"A",
114895,"R",154,"R",158,"R",97,"R",85,"A",
114901,"R",36,"R",39,"R",92,"R",89,"A",
114938,"R",312,"R",1491,"R",21,"R",62,"R",55
114947,"R",100,"R",652,"R",15,"R",95,"R",95
115001,"R",746,"R",4182,"R",18,"R",73,"R",51
115010,"R",309,"R",484,"R",64,"R",84,"A",
115083,"R",0,"R",143,"R",0,"R",23,"R",76
