"ID","2004_FT","2004_PT","2005_FT","2005_PT","2006_FT","2006_PT","2007_FT","2007_PT","2008_FT","2008_PT","2009_FT","2009_PT","2010_FT","2010_PT","2011_FT","2011_PT","2012_FT","2012_PT","2013_FT","2013_PT","2014_FT","2014_PT","2015_FT","2015_PT","2016_FT","2016_PT","2017_FT","2017_PT","2018_FT","2018_PT","2019_FT","2019_PT","2020_FT","2020_PT","2021_FT","2021_PT","2022_FT","2022_PT","2023_FT","2023_PT","2024_FT","2024_PT"
106458,68,37,65,37,72,34,69,28,68,22,68,38,71,35,71,37,70,42,73,42,75,36,76,35,75,51,73,26,76,32,75,35,79,33,75,37,78,33,78,45,78,53
106467,69,46,66,50,69,73,66,71,68,83,71,65,74,51,68,56,67,59,69,68,67,61,71,38,69,53,72,43,70,50,70,37,67,38,63,43,63,17,71,50,74,39
106485,50,36,49,33,48,34,48,32,49,41,50,17,43,9,42,41,41,18,42,35,47,28,45,0,52,20,52,40,61,60,66,0,75,60,69,80,68,100,69,50,72,75
106625,59,45,53,26,60,50,55,40,63,43,60,50,62,44,59,44,51,38,59,48,54,41,53,44,64,50,54,40,47,40,49,51,48,46,53,33,62,47,59,72,57,65
106704,70,14,72,32,71,19,71,32,72,30,71,42,73,38,69,0,70,40,70,48,70,36,72,56,73,57,72,62,74,40,75,40,79,50,71,50,74,20,73,75,73,33
106795,51,58,58,30,64,47,63,100,59,45,64,68,52,33,49,59,49,44,59,45,63,26,65,19,80,43,61,33,60,34,61,40,59,38,63,37,79,39,61,25,64,25
106883,44,25,47,28,53,23,50,45,54,35,50,30,46,36,37,63,39,73,45,38,46,58,56,52,53,48,55,48,56,47,67,69,52,16,49,67,55,63,65,45,70,53
106980,68,57,57,37,52,26,50,32,59,40,58,40,69,42,56,35,57,23,49,33,56,30,52,39,55,36,55,30,54,25,59,26,59,34,60,32,54,35,52,46,51,41
106999,65,39,59,39,49,62,58,41,50,56,58,38,48,38,54,41,49,51,48,46,60,34,56,20,62,67,61,19,63,32,65,61,52,64,54,29,45,26,74,56,70,61
107071,62,2,64,0,57,41,63,0,56,12,61,17,62,63,58,14,59,0,57,0,60,0,58,17,60,8,65,0,64,0,62,29,61,0,56,20,57,0,59,14,62,7
107318,45,38,51,24,54,35,42,32,42,30,52,64,47,39,39,24,38,25,40,33,49,34,49,20,46,44,55,43,45,25,41,38,55,36,53,40,72,38,77,49,58,51
107327,50,44,52,33,49,19,35,27,50,48,55,66,45,45,52,41,74,29,57,32,57,48,55,45,65,43,62,50,56,42,53,48,52,21,54,36,56,42,64,51,64,47
107460,76,60,56,48,53,44,50,25,69,44,52,36,56,46,54,36,51,28,51,37,50,38,56,37,61,51,52,33,54,46,53,34,58,55,56,33,55,28,59,40,54,44
107521,54,44,49,32,60,68,56,48,50,44,57,37,54,51,49,32,45,13,49,32,55,48,58,38,55,26,57,43,49,40,53,41,55,19,60,47,51,27,59,46,54,57
107549,77,75,53,38,45,55,54,32,55,26,53,10,53,21,50,22,40,35,54,28,46,21,43,39,57,35,49,28,79,35,79,48,57,33,55,36,68,38,72,53,64,55
107585,50,33,49,31,40,34,38,31,51,49,53,39,46,37,51,45,47,36,55,41,49,41,50,52,52,45,54,41,57,47,54,42,59,44,58,48,55,39,64,38,61,35
107619,50,43,65,46,52,47,58,24,58,37,60,49,58,34,53,12,54,40,56,22,56,31,60,50,63,38,61,21,54,38,52,28,59,44,67,28,76,62,81,61,66,79
107637,47,41,48,42,48,42,45,44,65,35,48,20,55,28,49,38,54,45,45,21,50,35,54,26,52,37,63,50,53,35,57,46,42,43,47,33,54,37,40,37,44,42
107664,64,46,48,48,55,42,51,44,54,46,62,45,56,58,59,53,58,49,51,50,57,39,53,42,56,43,56,53,53,51,52,40,49,33,55,36,60,32,58,39,56,46
107725,47,50,49,45,60,32,52,13,65,20,64,33,58,30,50,37,42,32,53,31,54,35,53,28,64,34,65,67,60,46,63,39,51,39,68,51,67,54,63,54,67,35
107743,31,28,42,48,42,39,41,41,46,41,43,39,42,35,53,50,48,44,55,27,44,40,55,48,57,58,61,68,57,58,68,28,65,64,65,44,62,48,67,41,63,63
107974,62,42,46,34,49,30,51,37,50,24,49,31,47,40,51,32,51,37,51,39,50,44,51,52,57,30,62,32,50,52,55,51,55,38,50,41,49,52,53,42,57,28
107983,63,5,64,0,62,25,62,50,56,44,63,40,62,0,60,0,60,50,64,17,63,40,62,60,66,64,66,38,65,33,67,70,72,100,64,13,71,75,69,75,66,21
107992,56,29,35,37,35,43,28,55,56,30,69,50,62,33,60,47,55,44,57,47,60,27,66,52,72,50,68,10,69,40,83,26,56,30,61,30,57,24,57,38,57,32
108092,61,27,65,29,65,50,68,41,59,29,66,47,63,43,62,39,63,46,62,37,66,33,65,36,65,31,67,54,64,50,66,29,74,54,67,42,71,55,72,74,70,54
108232,61,31,58,31,67,43,68,37,60,36,57,32,63,37,65,32,72,36,71,41,76,48,76,43,71,37,76,34,78,40,73,38,70,44,69,41,70,40,67,51,75,42
108667,67,32,57,35,55,29,51,35,50,26,39,16,58,27,58,28,57,30,62,36,64,33,71,35,64,33,54,28,65,33,64,30,51,27,51,35,56,26,56,29,62,32
108807,70,38,73,43,65,40,70,48,75,36,50,23,73,43,70,42,70,44,72,46,75,54,74,50,74,47,76,50,75,49,67,41,64,35,62,39,65,36,68,37,68,41
109208,64,41,63,40,65,41,66,42,62,33,44,22,67,39,71,41,70,45,68,44,70,44,73,44,72,43,70,50,71,53,70,50,64,31,69,38,69,40,72,48,72,46
109785,83,22,83,17,79,27,80,60,82,14,82,33,86,33,88,80,83,60,82,33,85,25,88,86,86,50,83,60,81,22,80,71,76,25,79,25,78,20,84,38,84,43
109907,57,50,57,31,45,23,51,22,53,28,60,26,42,15,47,25,58,23,54,25,42,24,61,32,63,39,61,27,65,29,58,20,59,29,62,31,64,32,64,37,67,35
110060,50,56,75,100,75,100,90,82,79,80,83,80,83,80,84,80,91,83,93,75,82,100,68,100,49,33,38,50,38,36,43,33,48,20,47,20,18,0,55,0,45,0
110246,70,46,64,40,61,36,65,41,70,36,45,27,64,44,69,45,73,47,70,52,70,50,66,48,66,49,67,43,74,47,67,39,64,30,64,30,70,30,67,40,68,42
110334,66,43,69,42,65,45,70,45,74,38,71,41,71,43,72,44,76,51,74,50,70,48,70,42,73,49,72,48,72,50,73,46,70,38,72,39,74,39,76,54,73,55
110361,76,50,79,0,78,50,83,25,74,33,71,25,75,57,77,45,78,60,77,48,83,35,76,44,76,53,78,45,76,35,78,25,76,34,79,54,73,33,74,41,74,38
110422,90,83,91,87,91,72,90,77,89,71,91,77,91,38,93,75,93,100,92,80,93,88,93,64,95,87,95,88,94,92,94,93,94,73,95,83,94,64,95,64,96,60
110486,76,35,79,60,77,75,73,25,72,31,74,24,68,40,71,45,72,50,74,31,73,42,76,50,76,47,76,41,78,55,77,50,83,31,75,34,73,46,80,59,79,62
110495,80,66,82,67,81,58,81,65,82,53,83,58,86,71,83,65,82,37,87,52,85,60,81,56,85,52,80,34,82,54,83,39,87,43,79,47,81,47,80,47,82,37
110510,80,50,80,40,82,45,81,32,78,47,83,51,86,57,89,62,88,51,89,56,88,69,87,56,85,49,85,67,86,41,86,57,85,56,78,38,80,53,78,52,80,47
110529,80,58,85,61,78,54,80,60,80,63,85,67,88,71,90,87,89,68,90,71,89,76,89,69,89,73,86,57,87,61,90,60,87,63,88,65,87,55,88,67,87,64
110538,82,68,85,50,82,69,80,49,80,49,82,51,85,65,88,50,87,61,87,58,87,58,84,47,86,44,84,58,85,50,84,55,83,59,81,63,80,38,84,56,82,46
110547,69,47,73,43,62,41,61,46,65,49,68,50,69,44,80,41,77,48,79,57,80,53,82,59,82,44,77,34,78,35,77,40,78,43,70,30,70,32,66,39,74,36
110556,84,56,86,65,82,58,81,44,82,48,80,45,87,60,86,61,83,52,83,50,83,47,83,56,79,47,81,57,81,54,83,46,87,53,77,41,76,42,78,42,82,43
110565,81,57,82,59,78,51,79,50,79,52,80,57,84,60,85,67,88,58,89,64,89,67,88,70,89,65,87,64,88,73,89,65,89,71,87,62,86,47,85,62,82,59
110574,82,60,81,39,80,50,76,56,74,50,71,37,74,24,76,58,75,50,78,70,81,62,80,58,77,61,75,50,76,70,76,44,78,14,80,55,75,50,79,64,76,68
110583,86,70,85,65,85,67,85,70,86,76,87,71,88,76,89,76,88,65,89,77,90,83,89,82,90,78,88,66,87,55,87,63,89,74,87,57,85,67,85,53,87,62
110592,75,46,75,41,77,54,74,52,74,41,74,57,82,62,81,60,80,70,82,58,84,53,84,45,79,48,79,45,82,46,81,49,83,53,73,45,73,39,73,44,72,43
110608,76,54,77,52,77,56,75,49,74,47,71,51,75,56,75,45,75,45,78,49,77,40,79,46,77,53,80,55,81,49,81,65,83,63,82,59,75,45,74,44,73,56
110617,81,53,81,60,77,48,77,49,78,50,79,44,80,57,83,75,82,66,83,71,83,66,80,64,81,60,83,66,81,60,83,60,84,69,81,52,80,53,81,50,82,53
110635,96,84,96,72,95,90,97,95,97,90,96,82,97,88,96,96,96,68,96,83,96,76,96,91,97,83,97,89,97,74,97,72,96,94,96,71,96,85,97,83,97,81
110644,91,87,92,87,91,87,91,85,90,77,92,81,92,82,93,80,92,79,93,80,93,68,93,63,93,78,93,80,92,71,92,77,93,82,91,65,92,75,93,86,93,83
110653,93,65,93,52,93,91,94,82,94,69,94,82,95,67,94,83,93,91,92,70,92,64,93,44,92,70,94,64,93,73,94,79,94,63,93,83,91,75,94,88,94,68
110662,96,90,96,91,96,78,97,88,97,83,97,80,97,67,97,50,96,90,96,75,97,62,96,73,97,63,97,80,97,88,97,86,96,73,97,75,97,53,97,92,97,83
110671,85,79,86,82,86,75,83,54,84,57,87,67,87,44,88,45,88,43,89,85,90,50,91,75,91,64,89,62,89,52,90,40,91,69,88,56,87,34,88,59,88,54
110680,93,89,95,89,94,92,95,91,94,78,95,100,96,33,96,60,94,0,94,100,95,80,95,56,95,83,94,65,94,67,93,83,94,50,95,75,93,78,94,63,94,84
