UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP 
150774,"R",176,"R",205,"R",86,"R",184,"R",0,"R",184,"R",106,"R",58,"R",18,"R",0,"R",18,"R",2,"R",11
150853,"A",,"A",,"A",,"R",2,"R",0,"R",2,"R",2,"R",100,"R",2,"R",0,"R",2,"R",2,"R",100
150941,"R",252,"R",331,"R",76,"R",273,"R",0,"R",273,"R",199,"R",73,"R",3,"R",0,"R",3,"R",2,"R",67
150978,"R",385,"R",1105,"R",35,"R",310,"R",1,"R",309,"R",147,"R",48,"R",349,"Z",0,"R",349,"R",159,"R",46
150987,"R",1324,"R",3386,"R",39,"R",860,"Z",0,"R",860,"R",390,"R",45,"R",735,"R",1,"R",734,"R",331,"R",45
150996,"R",230,"R",558,"R",41,"R",211,"Z",0,"R",211,"R",98,"R",46,"R",172,"Z",0,"R",172,"R",53,"R",31
151005,"R",748,"R",1426,"R",52,"R",745,"Z",0,"R",745,"R",367,"R",49,"R",360,"Z",0,"R",360,"R",148,"R",41
151014,"R",200,"R",532,"R",38,"R",240,"Z",0,"R",240,"R",113,"R",47,"R",214,"Z",0,"R",214,"R",90,"R",42
151023,"R",692,"R",1461,"R",47,"R",688,"R",1,"R",687,"R",338,"R",49,"R",241,"Z",0,"R",241,"R",96,"R",40
151032,"R",548,"R",1316,"R",42,"R",462,"Z",0,"R",462,"R",240,"R",52,"R",277,"Z",0,"R",277,"R",133,"R",48
151041,"R",302,"R",976,"R",31,"R",241,"Z",0,"R",241,"R",139,"R",58,"R",321,"Z",0,"R",321,"R",199,"R",62
151050,"R",450,"R",1020,"R",44,"R",300,"R",1,"R",299,"R",177,"R",59,"R",288,"Z",0,"R",288,"R",177,"R",61
151069,"R",491,"R",1162,"R",42,"R",482,"Z",0,"R",482,"R",228,"R",47,"R",362,"Z",0,"R",362,"R",196,"R",54
151078,"R",169,"R",431,"R",39,"R",122,"Z",0,"R",122,"R",56,"R",46,"R",135,"Z",0,"R",135,"R",63,"R",47
151087,"R",431,"R",1213,"R",36,"R",315,"Z",0,"R",315,"R",137,"R",43,"R",280,"R",1,"R",279,"R",104,"R",37
151096,"R",204,"R",469,"R",43,"R",156,"Z",0,"R",156,"R",70,"R",45,"R",111,"R",1,"R",110,"R",40,"R",36
151102,"R",1811,"R",3158,"R",57,"R",1645,"R",0,"R",1645,"R",972,"R",59,"R",195,"R",1,"R",194,"R",94,"R",48
