UNITID,xgrcohrt,grcohrt,xugenter,ugentern,xpgrcohr,pgrcohrt,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP
404505,R,337,R,344,R,97,B,,B,
404514,R,338,R,338,R,100,B,,B,
404532,R,2,R,60,R,3,B,,B,
404648,R,208,R,478,R,43,B,,B,
404675,R,1,R,1,R,100,R,100,C,
404684,R,363,R,363,R,100,B,,B,
404718,R,53,R,86,R,61,B,,B,
404806,R,48,R,48,R,100,B,,B,
404912,R,244,R,244,R,100,B,,B,
404921,R,372,R,372,R,100,R,70,B,
404994,R,932,R,939,R,99,R,55,R,55
405003,R,46,R,46,R,100,R,72,C,
405012,R,103,R,103,R,100,R,72,C,
405021,R,79,R,79,R,100,R,72,C,
405058,R,36,R,36,R,100,B,,B,
405076,R,253,R,549,R,46,R,66,B,
405173,R,49,R,50,R,98,B,,B,
405562,R,840,R,1535,R,54,B,,B,
405748,R,16,R,16,R,100,B,,B,
405854,R,33,R,33,R,100,B,,B,
405872,R,507,R,1149,R,44,R,66,R,40
405979,R,19,R,494,R,3,R,0,R,0
405988,R,19,R,357,R,5,R,0,R,0
405997,R,105,R,626,R,16,R,0,R,0
406006,R,23,R,196,R,11,R,0,R,0
406015,R,77,R,2008,R,3,R,0,R,0
406024,R,42,R,42,R,100,B,,B,
406033,R,51,R,51,R,100,B,,B,
406051,R,22,R,22,R,100,R,78,B,
406060,R,24,R,24,R,100,R,61,C,
406149,R,99,R,129,R,76,B,,B,
406194,R,218,R,421,R,51,B,,B,
406200,R,503,R,503,R,100,B,,B,
406219,R,57,R,78,R,73,B,,B,
406264,R,409,R,466,R,87,B,,B,
406273,R,42,R,51,R,82,B,,B,
406325,R,38,R,56,R,67,B,,B,
406361,R,45,R,45,R,100,B,,C,
406398,R,127,R,314,R,40,B,,B,
406413,R,30,R,78,R,38,R,86,B,
406422,R,34,R,34,R,100,B,,B,
406486,R,21,R,101,R,20,R,86,R,76
406495,R,211,R,238,R,88,B,,B,
406547,R,67,R,133,R,50,B,,B,
406556,R,30,R,32,R,93,B,,B,
407009,R,341,R,1608,R,21,R,75,R,50
407054,R,2,R,48,R,4,B,,B,
407063,R,120,R,129,R,93,B,,B,
407090,R,54,R,97,R,55,B,,B,
407106,R,33,R,43,R,76,B,,B,
407142,R,100,R,100,R,100,B,,B,
407151,R,82,R,86,R,95,B,,B,
407179,R,100,R,157,R,63,B,,B,
407258,R,23,R,51,R,45,R,50,R,30
407285,R,162,R,335,R,48,B,,B,
407319,R,93,R,94,R,98,B,,B,
407328,R,66,R,94,R,70,B,,B,
407355,R,115,R,143,R,80,B,,B,
407382,R,18,R,18,R,100,R,100,C,
407391,R,68,R,159,R,42,B,,B,
407407,R,73,R,124,R,58,B,,B,
407425,R,90,R,172,R,52,B,,B,
407434,R,56,R,89,R,62,B,,B,
407452,R,148,R,148,R,100,R,100,B,
407461,R,211,R,211,R,100,B,,B,
407470,R,71,R,71,R,100,R,73,B,
407489,R,29,R,29,R,100,R,85,R,85
407504,R,89,R,102,R,87,R,65,B,
407513,R,154,R,206,R,74,R,89,R,95
407522,R,22,R,27,R,81,R,93,R,100
407568,R,18,R,52,R,34,B,,B,
407577,R,136,R,256,R,53,B,,B,
407595,R,167,R,167,R,100,C,,C,
407601,R,9,R,27,R,33,B,,B,
407638,R,272,R,591,R,46,B,,B,
407665,R,7,R,18,R,38,R,92,R,58
407683,R,31,R,95,R,32,R,88,R,33
407692,R,91,R,91,R,100,B,,B,
407708,R,118,R,170,R,69,B,,B,
407726,R,84,R,84,R,100,B,,B,
407735,R,104,R,104,R,100,B,,B,
407744,R,25,R,25,R,100,B,,B,
407832,R,25,R,60,R,41,B,,B,
407975,R,314,R,354,R,88,B,,B,
407984,R,83,R,103,R,80,B,,B,
408002,R,103,R,117,R,88,B,,B,
408039,R,499,R,499,R,100,B,,B,
408057,R,82,R,110,R,74,B,,B,
408066,R,42,R,83,R,50,B,,B,
408163,R,19,R,19,R,100,B,,B,
408312,R,10,R,46,R,21,R,82,B,
408385,R,250,R,500,R,50,R,73,B,
408394,R,119,R,201,R,59,R,50,R,26
408437,R,6,R,28,R,21,B,,B,
408747,R,4,R,8,R,50,R,100,R,100
408844,R,280,R,1408,R,19,R,78,R,77
408862,R,35,R,77,R,45,B,,B,
408914,R,50,R,74,R,67,R,43,R,26
409032,R,390,R,390,R,100,R,91,B,
409069,R,159,R,166,R,95,B,,B,
409120,R,129,R,187,R,68,B,,B,
409166,R,64,R,75,R,85,B,,B,
409193,R,60,R,300,R,20,R,90,B,
409209,R,128,R,162,R,79,R,54,B,
409245,R,41,R,44,R,93,B,,B,
409281,R,98,R,138,R,71,R,55,R,76
409315,R,1655,R,5446,R,30,R,45,R,53
409324,R,12,R,12,R,100,B,,B,
409333,R,14,R,15,R,93,B,,B,
409546,R,86,R,122,R,70,R,64,R,36
409591,R,49,R,157,R,31,R,81,R,77
409670,R,1754,R,1754,R,100,B,,B,
409689,R,459,R,1324,R,34,B,,B,
409698,R,508,R,957,R,53,B,,B,
409829,R,365,R,365,R,100,R,79,C,
409838,R,82,R,148,R,55,B,,B,
409874,R,139,R,575,R,24,B,,B,
410070,R,364,R,364,R,100,R,93,C,
410283,R,47,R,48,R,97,R,67,B,
410496,R,138,R,213,R,64,B,,B,
410502,R,73,R,97,R,75,B,,B,
410520,R,62,R,122,R,50,B,,B,
410539,R,482,R,482,R,100,B,,B,
410788,R,123,R,195,R,63,R,84,R,82
410797,R,95,R,95,R,100,B,,B,
411055,R,403,R,403,R,100,B,,B,
411374,R,122,R,163,R,74,B,,B,
411684,R,214,R,214,R,100,B,,B,
411754,R,19,R,19,R,100,R,90,R,100
411806,R,205,R,205,R,100,B,,B,
412173,R,113,R,113,R,100,B,,B,
412535,R,41,R,41,R,100,R,83,B,
412544,R,137,R,195,R,70,B,,B,
412599,R,166,R,166,R,100,B,,B,
412650,R,23,R,32,R,71,B,,B,
412854,R,31,R,31,R,100,B,,B,
413176,R,20,R,21,R,95,R,71,R,50
413185,R,30,R,30,R,100,B,,B,
413343,R,18,R,18,R,100,B,,B,
413501,R,6,R,6,R,100,C,,C,
413565,R,63,R,63,R,100,R,100,C,
413617,R,53,R,90,R,58,B,,B,
413626,R,34,R,38,R,89,R,35,R,7
413635,R,166,R,166,R,100,B,,B,
413680,R,530,R,549,R,96,R,96,R,96
413723,R,73,R,106,R,68,R,54,B,
413778,R,134,R,134,R,100,B,,B,
413802,R,274,R,542,R,50,R,89,R,92
413820,R,20,R,20,R,100,R,99,C,
413839,R,91,R,95,R,95,B,,B,
413848,R,115,R,125,R,92,B,,B,
413857,R,128,R,130,R,98,B,,B,
413866,R,88,R,90,R,97,B,,B,
413884,R,140,R,145,R,96,B,,B,
413909,A,,A,,A,,R,100,R,32
413918,R,28,R,35,R,80,C,,C,
413945,R,67,R,67,R,100,R,75,R,43
413972,R,50,R,138,R,36,R,75,B,
414027,R,122,R,158,R,77,B,,B,
414036,R,158,R,158,R,100,B,,B,
414054,R,10,R,12,R,83,R,85,R,85
414063,R,53,R,101,R,52,B,,B,
414124,R,107,R,124,R,86,R,76,R,84
414160,R,272,R,577,R,47,B,,B,
414452,R,26,R,26,R,100,B,,B,
414461,R,1787,R,1908,R,93,B,,B,
414489,R,43,R,43,R,100,B,,B,
414531,R,47,R,52,R,90,B,,B,
414540,R,158,R,158,R,100,B,,B,
414559,R,36,R,36,R,100,R,81,B,
414568,R,105,R,113,R,92,B,,B,
414586,R,106,R,107,R,99,B,,B,
414708,R,67,R,915,R,7,B,,B,
414823,R,717,R,918,R,78,B,,B,
414841,R,78,R,82,R,95,B,,B,
414850,R,93,R,183,R,50,R,50,R,50
414878,R,0,R,21,R,0,B,,C,
414911,R,192,R,419,R,45,C,,C,
414939,R,173,R,231,R,74,B,,B,
415039,R,28,R,33,R,84,B,,B,
415048,R,23,R,62,R,37,B,,B,
415057,R,87,R,87,R,100,B,,B,
415376,R,440,R,440,R,100,R,79,R,79
415729,R,24,R,35,R,68,B,,B,
415774,R,165,R,165,R,100,B,,B,
415987,R,414,R,414,R,100,R,82,B,
416458,R,155,R,155,R,100,R,88,B,
416670,R,43,R,75,R,57,R,89,R,85
416962,R,33,R,486,R,6,R,0,R,0
416971,R,31,R,50,R,62,B,,B,
416980,R,17,R,42,R,40,B,,B,
417062,R,51,R,64,R,79,B,,B,
417105,A,,A,,A,,B,,R,77
417114,R,143,R,143,R,100,B,,B,
417123,R,256,R,300,R,85,R,85,R,14
417132,R,87,R,126,R,69,B,,B,
417318,R,100,R,100,R,100,R,64,C,
417327,R,42,R,44,R,95,B,,B,
417381,R,83,R,114,R,72,B,,B,
417406,R,38,R,59,R,64,B,,B,
417433,R,33,R,55,R,60,B,,B,
417442,R,10,R,17,R,58,C,,C,
417497,R,104,R,122,R,85,B,,B,
