"ID","Year","Retention","Type"
167729,2004,76,"FT"
167905,2004,59,"FT"
168005,2004,75,"FT"
168430,2004,71,"FT"
168847,2004,36,"FT"
168883,2004,53,"FT"
168892,2004,55,"FT"
169187,2004,85,"FT"
169248,2004,78,"FT"
169275,2004,56,"FT"
169284,2004,83,"FT"
169442,2004,80,"FT"
169479,2004,32,"FT"
169521,2004,42,"FT"
169716,2004,74,"FT"
169798,2004,75,"FT"
169910,2004,66,"FT"
169974,2004,52,"FT"
169992,2004,63,"FT"
170055,2004,61,"FT"
170082,2004,81,"FT"
170541,2004,54,"FT"
170550,2004,64,"FT"
170587,2004,48,"FT"
170639,2004,61,"FT"
170657,2004,67,"FT"
170675,2004,73,"FT"
170790,2004,72,"FT"
170967,2004,65,"FT"
170976,2004,96,"FT"
171100,2004,90,"FT"
171137,2004,82,"FT"
171146,2004,69,"FT"
171155,2004,61,"FT"
171225,2004,63,"FT"
171234,2004,52,"FT"
171304,2004,72,"FT"
171395,2004,85,"FT"
171456,2004,72,"FT"
171535,2004,55,"FT"
171571,2004,72,"FT"
172051,2004,67,"FT"
172291,2004,60,"FT"
172307,2004,60,"FT"
172617,2004,62,"FT"
172635,2004,81,"FT"
172644,2004,74,"FT"
172671,2004,67,"FT"
172699,2004,75,"FT"
172918,2004,71,"FT"
172954,2004,62,"FT"
172963,2004,47,"FT"
173063,2004,61,"FT"
173115,2004,61,"FT"
173124,2004,70,"FT"
173203,2004,56,"FT"
173416,2004,64,"FT"
173461,2004,56,"FT"
173559,2004,58,"FT"
173638,2004,63,"FT"
173708,2004,62,"FT"
173735,2004,55,"FT"
173799,2004,50,"FT"
173911,2004,60,"FT"
173920,2004,78,"FT"
174020,2004,44,"FT"
174066,2004,86,"FT"
174075,2004,62,"FT"
174136,2004,52,"FT"
174233,2004,76,"FT"
174358,2004,66,"FT"
174376,2004,57,"FT"
174428,2004,49,"FT"
174473,2004,53,"FT"
174491,2004,79,"FT"
174570,2004,65,"FT"
174738,2004,58,"FT"
174756,2004,65,"FT"
174783,2004,72,"FT"
174978,2004,82,"FT"
175041,2004,62,"FT"
175078,2004,71,"FT"
175236,2004,59,"FT"
175263,2004,68,"FT"
175272,2004,73,"FT"
175315,2004,55,"FT"
175342,2004,66,"FT"
175519,2004,45,"FT"
175573,2004,68,"FT"
175616,2004,72,"FT"
175652,2004,64,"FT"
175786,2004,75,"FT"
175810,2004,61,"FT"
175829,2004,68,"FT"
175856,2004,74,"FT"
175883,2004,58,"FT"
175935,2004,59,"FT"
176008,2004,56,"FT"
176017,2004,81,"FT"
176044,2004,74,"FT"
176053,2004,71,"FT"
176071,2004,60,"FT"
176080,2004,81,"FT"
176169,2004,69,"FT"
176178,2004,67,"FT"
176239,2004,41,"FT"
176354,2004,54,"FT"
176372,2004,75,"FT"
176798,2004,84,"FT"
176965,2004,70,"FT"
177065,2004,67,"FT"
177135,2004,57,"FT"
177250,2004,41,"FT"
177551,2004,53,"FT"
177676,2004,61,"FT"
177977,2004,73,"FT"
177995,2004,56,"FT"
178208,2004,67,"FT"
178217,2004,61,"FT"
178244,2004,74,"FT"
178341,2004,61,"FT"
178387,2004,56,"FT"
178396,2004,84,"FT"
