"ID","Year","Retention","Type"
151111,2014,71,"FT"
151263,2014,74,"FT"
151306,2014,72,"FT"
151324,2014,64,"FT"
151333,2014,64,"FT"
151342,2014,66,"FT"
151351,2014,89,"FT"
151360,2014,67,"FT"
151379,2014,62,"FT"
151388,2014,63,"FT"
151564,2014,75,"FT"
151810,2014,39,"FT"
152044,2014,75,"FT"
152275,2014,60,"FT"
152381,2014,82,"FT"
152628,2014,81,"FT"
153214,2014,54,"FT"
153296,2014,52,"FT"
153311,2014,58,"FT"
153445,2014,74,"FT"
153472,2014,54,"FT"
153524,2014,54,"FT"
153533,2014,55,"FT"
153603,2014,86,"FT"
153630,2014,50,"FT"
153658,2014,86,"FT"
153737,2014,58,"FT"
153922,2014,53,"FT"
154059,2014,67,"FT"
154095,2014,85,"FT"
154110,2014,58,"FT"
154129,2014,69,"FT"
154235,2014,77,"FT"
154378,2014,51,"FT"
154396,2014,55,"FT"
154572,2014,56,"FT"
154642,2014,51,"FT"
154697,2014,54,"FT"
154800,2014,58,"FT"
154907,2014,49,"FT"
154925,2014,61,"FT"
154934,2014,53,"FT"
154952,2014,58,"FT"
154998,2014,49,"FT"
155007,2014,45,"FT"
155025,2014,73,"FT"
155052,2014,76,"FT"
155061,2014,68,"FT"
155098,2014,51,"FT"
155104,2014,63,"FT"
155186,2014,38,"FT"
155195,2014,60,"FT"
155201,2014,36,"FT"
155210,2014,63,"FT"
155292,2014,57,"FT"
155317,2014,80,"FT"
155399,2014,83,"FT"
155423,2014,76,"FT"
155450,2014,53,"FT"
155487,2014,56,"FT"
155566,2014,54,"FT"
155593,2014,66,"FT"
155681,2014,72,"FT"
155715,2014,55,"FT"
155830,2014,75,"FT"
155858,2014,63,"FT"
156082,2014,65,"FT"
156107,2014,62,"FT"
156125,2014,74,"FT"
156231,2014,54,"FT"
156310,2014,69,"FT"
156338,2014,63,"FT"
156365,2014,58,"FT"
156392,2014,52,"FT"
156426,2014,62,"FT"
156620,2014,72,"FT"
156648,2014,58,"FT"
156790,2014,59,"FT"
156851,2014,51,"FT"
156860,2014,58,"FT"
156921,2014,51,"FT"
157058,2014,44,"FT"
157085,2014,82,"FT"
157216,2014,62,"FT"
157289,2014,81,"FT"
157304,2014,68,"FT"
157331,2014,51,"FT"
157386,2014,70,"FT"
157438,2014,64,"FT"
157447,2014,69,"FT"
157483,2014,66,"FT"
157553,2014,59,"FT"
157614,2014,44,"FT"
157650,2014,57,"FT"
157711,2014,57,"FT"
157739,2014,61,"FT"
157748,2014,69,"FT"
157951,2014,73,"FT"
158088,2014,38,"FT"
158431,2014,45,"FT"
158662,2014,48,"FT"
158884,2014,43,"FT"
159009,2014,68,"FT"
159382,2014,64,"FT"
159391,2014,85,"FT"
159407,2014,56,"FT"
159416,2014,66,"FT"
159647,2014,80,"FT"
159717,2014,70,"FT"
159939,2014,69,"FT"
159966,2014,69,"FT"
159993,2014,70,"FT"
160010,2014,64,"FT"
160038,2014,68,"FT"
